28.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEBY063;Regensburg/Rathaus;13;K;01.01.2017;27.05.2017;10;3;0;0;0;0;0;0;0;0;0;0
DEBY068;Schweinfurt/Obertor;5;K;01.01.2017;27.05.2017;4;1;0;0;0;0;0;0;0;0;0;0
DEBY072;Tiefenbach/Altenschneeberg;1;K;01.01.2017;27.05.2017;1;0;0;0;0;0;0;0;0;0;0;0
DEBY077;Würzburg/Kopfklinik;8;K;01.01.2017;27.05.2017;6;2;0;0;0;0;0;0;0;0;0;0
DEBY088;Trostberg/Schwimmbadstraße;10;K;01.01.2017;27.05.2017;9;1;0;0;0;0;0;0;0;0;0;0
DEBY089;München/Johanneskirchen;10;K;01.01.2017;27.05.2017;8;2;0;0;0;0;0;0;0;0;0;0
DEBY093;Sulzbach-Rosenberg/Lohe;9;K;01.01.2017;27.05.2017;7;2;0;0;0;0;0;0;0;0;0;0
DEBY099;Augsburg/LfU;11;K;01.01.2017;27.05.2017;8;3;0;0;0;0;0;0;0;0;0;0
DEBY109;Andechs/Rothenfeld;2;K;01.01.2017;27.05.2017;2;0;0;0;0;0;0;0;0;0;0;0
DEBY110;Augsburg/Karlstraße;19;K;01.01.2017;27.05.2017;11;7;1;0;0;0;0;0;0;0;0;0
DEBY111;Bayreuth/Hohenzollernring;13;K;01.01.2017;27.05.2017;9;4;0;0;0;0;0;0;0;0;0;0
DEBY115;"München/Landshuter Allee";20;K;01.01.2017;27.05.2017;11;8;1;0;0;0;0;0;0;0;0;0
DEBY118;Passau/Stelzhamerstraße;17;K;01.01.2017;27.05.2017;12;5;0;0;0;0;0;0;0;0;0;0
DEBY119;"Würzburg/Stadtring Süd";23;K;01.01.2017;27.05.2017;13;7;3;0;0;0;0;0;0;0;0;0
DEBY120;Nürnberg/Von-der-Tann-Straße;22;K;01.01.2017;27.05.2017;16;6;0;0;0;0;0;0;0;0;0;0
DEBY121;Oberaudorf/Inntal-Autobahn;12;K;01.01.2017;27.05.2017;9;2;0;1;0;0;0;0;0;0;0;0
DEBY122;"Bad Hindelang/Oberjoch";0;K;01.01.2017;27.05.2017;0;0;0;0;0;0;0;0;0;0;0;0
DEBY188;Schwabach/Angerstraße;10;K;01.01.2017;27.05.2017;8;2;0;0;0;0;0;0;0;0;0;0
DEHB001;Bremen-Mitte;8;K;01.01.2017;27.05.2017;3;5;0;0;0;0;0;0;0;0;0;0
DEHB002;Bremen-Ost;9;K;01.01.2017;27.05.2017;3;6;0;0;0;0;0;0;0;0;0;0
DEHB004;Bremen-Nord;9;K;01.01.2017;27.05.2017;4;5;0;0;0;0;0;0;0;0;0;0
DEHB005;Bremerhaven;9;K;01.01.2017;27.05.2017;4;5;0;0;0;0;0;0;0;0;0;0
DEHB006;"Bremen Verkehr 1";11;K;01.01.2017;27.05.2017;6;5;0;0;0;0;0;0;0;0;0;0
DEHB011;"Cherbourger Straße";10;K;01.01.2017;27.05.2017;5;5;0;0;0;0;0;0;0;0;0;0
DEHB012;Bremen-Oslebshausen;8;K;01.01.2017;27.05.2017;3;5;0;0;0;0;0;0;0;0;0;0
DEHB013;Bremen-Hasenbüren;12;K;01.01.2017;27.05.2017;6;6;0;0;0;0;0;0;0;0;0;0
DEHE001;Darmstadt;7;K;01.01.2017;27.05.2017;4;3;0;0;0;0;0;0;0;0;0;0
DEHE005;Frankfurt-Höchst;8;K;01.01.2017;27.05.2017;5;3;0;0;0;0;0;0;0;0;0;0
DEHE008;Frankfurt-Ost;8;K;01.01.2017;27.05.2017;5;3;0;0;0;0;0;0;0;0;0;0
DEHE011;Hanau;6;K;01.01.2017;27.05.2017;4;2;0;0;0;0;0;0;0;0;0;0
DEHE013;Kassel-Mitte;9;K;01.01.2017;27.05.2017;4;5;0;0;0;0;0;0;0;0;0;0
DEHE018;Raunheim;6;K;01.01.2017;27.05.2017;2;4;0;0;0;0;0;0;0;0;0;0
DEHE020;Wetzlar;11;K;01.01.2017;27.05.2017;4;7;0;0;0;0;0;0;0;0;0;0
DEHE022;Wiesbaden-Süd;6;K;01.01.2017;27.05.2017;4;2;0;0;0;0;0;0;0;0;0;0
DEHE024;Witzenhausen/Wald;1;K;01.01.2017;27.05.2017;0;1;0;0;0;0;0;0;0;0;0;0
DEHE028;Fürth/Odenwald;2;K;01.01.2017;27.05.2017;2;0;0;0;0;0;0;0;0;0;0;0
DEHE030;Marburg;7;K;01.01.2017;27.05.2017;3;4;0;0;0;0;0;0;0;0;0;0
DEHE032;Bebra;10;K;01.01.2017;27.05.2017;3;7;0;0;0;0;0;0;0;0;0;0
DEHE037;Wiesbaden-Ringkirche;7;K;01.01.2017;27.05.2017;4;3;0;0;0;0;0;0;0;0;0;0
DEHE040;Darmstadt-Hügelstraße;9;K;01.01.2017;27.05.2017;5;4;0;0;0;0;0;0;0;0;0;0
DEHE041;Frankfurt-Friedb.Ldstr.;14;K;01.01.2017;27.05.2017;8;6;0;0;0;0;0;0;0;0;0;0
DEHE043;Riedstadt;6;K;01.01.2017;27.05.2017;3;3;0;0;0;0;0;0;0;0;0;0
DEHE044;Limburg;7;K;01.01.2017;27.05.2017;3;4;0;0;0;0;0;0;0;0;0;0
DEHE045;Michelstadt;5;K;01.01.2017;27.05.2017;3;2;0;0;0;0;0;0;0;0;0;0
DEHE046;"Bad Arolsen";4;K;01.01.2017;27.05.2017;2;2;0;0;0;0;0;0;0;0;0;0
DEHE049;Kassel-Fünffenster-Str.;14;K;01.01.2017;27.05.2017;7;7;0;0;0;0;0;0;0;0;0;0
DEHE050;Zierenberg;2;K;01.01.2017;26.05.2017;0;2;0;0;0;0;0;0;0;0;0;0
DEHE051;Wasserkuppe;0;K;01.01.2017;27.05.2017;0;0;0;0;0;0;0;0;0;0;0;0
DEHE052;"Kleiner Feldberg";0;K;01.01.2017;24.05.2017;0;0;0;0;0;0;0;0;0;0;0;0
DEHE059;"Fulda-Petersberger Str.";12;K;01.01.2017;27.05.2017;6;6;0;0;0;0;0;0;0;0;0;0
DEHE060;Kellerwald;2;K;01.01.2017;27.05.2017;0;2;0;0;0;0;0;0;0;0;0;0
DEHE061;Gießen-Westanlage;8;K;01.01.2017;27.05.2017;3;5;0;0;0;0;0;0;0;0;0;0
DEHE062;Marburg-Univers.Straße;6;K;01.01.2017;27.05.2017;4;2;0;0;0;0;0;0;0;0;0;0
DEHE063;Heppenheim-Lehrstraße;10;K;01.01.2017;27.05.2017;7;3;0;0;0;0;0;0;0;0;0;0
DEHE095;"DHA80 Wetzlar-Köhlersgarten";2;G;04.01.2017;29.01.2017;2;0;0;0;0;0;0;0;0;0;0;0
DEHE112;"Wiesbaden-Schiersteiner Str.";9;K;01.01.2017;27.05.2017;5;4;0;0;0;0;0;0;0;0;0;0
DEHE116;"Offenbach-Untere Grenzstraße";18;K;01.01.2017;27.05.2017;12;5;1;0;0;0;0;0;0;0;0;0
